year,region,property_type,avg_price,volume
2012,South West,D,323000,23938
2012,South West,F,157000,12608
2012,South West,S,204000,18298
2012,South West,T,181000,23186
2012,Wales,D,226000,9874
2012,Wales,F,121000,2575
2012,Wales,S,141000,9258
2012,Wales,T,113000,10293
2012,West Midlands,D,269000,16781
2012,West Midlands,F,109000,6253
2012,West Midlands,S,152000,20839
2012,West Midlands,T,128000,18093
2013,East England,D,222000,6729
2013,East England,F,100000,888
2013,East England,S,147000,3951
2013,East England,T,139000,3360
2013,East Midlands,D,225000,23537
2013,East Midlands,F,105000,4291
2013,East Midlands,S,131000,24633
2013,East Midlands,T,109000,18626
2013,East of England,D,362000,23953
2013,East of England,F,159000,12259
2013,East of England,S,232000,21369
2013,East of England,T,199000,22444
2013,Greater London,D,778000,10349
2013,Greater London,F,392000,67709
2013,Greater London,S,454000,21794
2013,Greater London,T,490000,36811
2013,North East,D,256000,15136
2013,North East,F,111000,6974
2013,North East,S,147000,22412
2013,North East,T,120000,21728
2013,North West,D,266000,20822
2013,North West,F,113000,10948
2013,North West,S,151000,34921
2013,North West,T,109000,35535
2013,South East,D,433000,34741
2013,South East,F,170000,25624
2013,South East,S,258000,31531
2013,South East,T,218000,36282
2013,South West,D,329000,28201
2013,South West,F,159000,15567
2013,South West,S,207000,21543
2013,South West,T,183000,28048
2013,Wales,D,228000,12055
2013,Wales,F,117000,2991
2013,Wales,S,141000,11213
2013,Wales,T,115000,12434
2013,West Midlands,D,275000,20157
2013,West Midlands,F,113000,7653
2013,West Midlands,S,155000,24709
2013,West Midlands,T,132000,22099
2014,East England,D,240000,7972
2014,East England,F,109000,1292
2014,East England,S,157000,4743
2014,East England,T,143000,4211
2014,East Midlands,D,237000,28483
2014,East Midlands,F,107000,5699
2014,East Midlands,S,137000,29891
2014,East Midlands,T,113000,23871
2014,East of England,D,388000,27851
2014,East of England,F,168000,16618
2014,East of England,S,250000,24339
2014,East of England,T,215000,27326
2014,Greater London,D,846000,11174
2014,Greater London,F,435000,79801
2014,Greater London,S,504000,22412
2014,Greater London,T,541000,40029
2014,North East,D,264000,18460
2014,North East,F,114000,9201
2014,North East,S,150000,27110
2014,North East,T,122000,27641
2014,North West,D,275000,25819
2014,North West,F,135000,15140
2014,North West,S,156000,42355
2014,North West,T,111000,45492
2014,South East,D,473000,39424
2014,South East,F,183000,34840
2014,South East,S,282000,34694
2014,South East,T,236000,43391
2014,South West,D,348000,32679
2014,South West,F,167000,20813
2014,South West,S,219000,24816
2014,South West,T,195000,33817
2014,Wales,D,236000,14054
2014,Wales,F,123000,4302
2014,Wales,S,146000,13124
2014,Wales,T,119000,15391
2014,West Midlands,D,291000,24178
2014,West Midlands,F,119000,10654
2014,West Midlands,S,163000,29556
2014,West Midlands,T,137000,28346
2015,East England,D,251000,7576
2015,East England,F,116000,1461
2015,East England,S,167000,4572
2015,East England,T,149000,4346
2015,East Midlands,D,252000,28880
2015,East Midlands,F,112000,6141
2015,East Midlands,S,143000,29870
2015,East Midlands,T,117000,24740
2015,East of England,D,420000,27641
2015,East of England,F,179000,17520
2015,East of England,S,274000,23252
2015,East of England,T,237000,27183
2015,Greater London,D,870000,10830
2015,Greater London,F,458000,79339
2015,Greater London,S,538000,22390
2015,Greater London,T,556000,39928
2015,North East,D,274000,19510
2015,North East,F,119000,9948
2015,North East,S,155000,27491
2015,North East,T,126000,28396
2015,North West,D,285000,27607
2015,North West,F,122000,17411
2015,North West,S,162000,43830
2015,North West,T,116000,47469
2015,South East,D,495000,39527
2015,South East,F,196000,36320
2015,South East,S,304000,34143
2015,South East,T,257000,42694
2015,South West,D,363000,33764
2015,South West,F,175000,21680
2015,South West,S,230000,24798
2015,South West,T,207000,34097
2015,Wales,D,244000,14916
2015,Wales,F,127000,4309
2015,Wales,S,149000,13418
2015,Wales,T,122000,16225
2015,West Midlands,D,307000,25855
2015,West Midlands,F,126000,11056
2015,West Midlands,S,171000,30570
2015,West Midlands,T,144000,29306
2016,East England,D,269000,7729
2016,East England,F,125000,1665
2016,East England,S,180000,4887
2016,East England,T,162000,4372
2016,East Midlands,D,260000,30457
2016,East Midlands,F,121000,7267
2016,East Midlands,S,149000,31413
2016,East Midlands,T,124000,25037
2016,East of England,D,449000,26820
2016,East of England,F,197000,18833
2016,East of England,S,301000,23204
2016,East of England,T,259000,25504
2016,Greater London,D,938000,9593
2016,Greater London,F,495000,76770
2016,Greater London,S,579000,19958
2016,Greater London,T,593000,35320
2016,North East,D,283000,20043
2016,North East,F,127000,10854
2016,North East,S,161000,28706
2016,North East,T,129000,28277
2016,North West,D,299000,29341
2016,North West,F,131000,19488
2016,North West,S,168000,45922
2016,North West,T,119000,49479
2016,South East,D,527000,37429
2016,South East,F,211000,37315
2016,South East,S,329000,33937
2016,South East,T,279000,40443
2016,South West,D,382000,33490
2016,South West,F,184000,23174
2016,South West,S,246000,25836
2016,South West,T,219000,33774
2016,Wales,D,256000,15715
2016,Wales,F,128000,4697
2016,Wales,S,156000,14108
2016,Wales,T,125000,16419
2016,West Midlands,D,322000,26702
2016,West Midlands,F,132000,12976
2016,West Midlands,S,181000,32263
2016,West Midlands,T,152000,30325
2017,East England,D,290000,7512
2017,East England,F,127000,1579
2017,East England,S,191000,4998
2017,East England,T,172000,4063
2017,East Midlands,D,273000,30395
2017,East Midlands,F,121000,6681
2017,East Midlands,S,156000,32890
