region,postcode_sector,year,avg_price,volume
East Midlands,LE7 4,2018,347000,43
East Midlands,LE7 7,2018,287000,394
East Midlands,LE7 9,2018,307000,219
East Midlands,LE8 0,2018,311000,180
East Midlands,LE8 4,2018,215000,124
East Midlands,LE8 5,2018,256000,141
East Midlands,LE8 6,2018,263000,138
East Midlands,LE8 8,2018,224000,67
East Midlands,LE8 9,2018,404000,105
East Midlands,LE9 1,2018,251000,58
East Midlands,LE9 2,2018,323000,81
East Midlands,LE9 3,2018,234000,55
East Midlands,LE9 4,2018,237000,213
East Midlands,LE9 6,2018,260000,208
East Midlands,LE9 7,2018,204000,238
East Midlands,LE9 8,2018,171000,177
East Midlands,LE9 9,2018,251000,147
East Midlands,LN1 1,2018,190000,219
East Midlands,LN1 2,2018,251000,226
East Midlands,LN1 3,2018,175000,198
East Midlands,LN10 5,2018,256000,11
East Midlands,LN10 6,2018,281000,109
East Midlands,LN11 0,2018,186000,196
East Midlands,LN11 7,2018,198000,103
East Midlands,LN11 8,2018,199000,155
East Midlands,LN11 9,2018,188000,100
East Midlands,LN12 1,2018,143000,99
East Midlands,LN12 2,2018,168000,218
East Midlands,LN13 0,2018,223000,32
East Midlands,LN13 9,2018,194000,114
East Midlands,LN2 1,2018,310000,33
East Midlands,LN2 2,2018,222000,161
East Midlands,LN2 3,2018,246000,164
East Midlands,LN2 4,2018,194000,269
East Midlands,LN2 5,2018,120000,130
East Midlands,LN3 4,2018,203000,150
East Midlands,LN3 5,2018,199000,78
East Midlands,LN4 1,2018,230000,223
East Midlands,LN4 2,2018,208000,164
East Midlands,LN4 3,2018,218000,122
East Midlands,LN4 4,2018,169000,224
East Midlands,LN5 0,2018,290000,119
East Midlands,LN5 7,2018,115000,152
East Midlands,LN5 8,2018,125000,209
East Midlands,LN5 9,2018,228000,188
East Midlands,LN6 0,2018,160000,247
East Midlands,LN6 3,2018,171000,76
East Midlands,LN6 4,2018,314000,4
East Midlands,LN6 5,2018,212000,52
East Midlands,LN6 7,2018,171000,201
East Midlands,LN6 8,2018,200000,217
East Midlands,LN6 9,2018,216000,469
East Midlands,LN7 6,2018,196000,109
East Midlands,LN8 2,2018,237000,39
East Midlands,LN8 3,2018,190000,218
East Midlands,LN8 5,2018,193000,74
East Midlands,LN8 6,2018,200000,36
East Midlands,LN9 5,2018,206000,107
East Midlands,LN9 6,2018,205000,95
East Midlands,NG1 1,2018,145000,136
East Midlands,NG1 2,2018,148000,16
East Midlands,NG1 3,2018,131000,44
East Midlands,NG1 4,2018,228000,17
East Midlands,NG1 5,2018,227000,49
East Midlands,NG1 6,2018,175000,18
East Midlands,NG1 7,2018,177000,56
East Midlands,NG10 1,2018,144000,145
East Midlands,NG10 2,2018,176000,107
East Midlands,NG10 3,2018,179000,238
East Midlands,NG10 4,2018,170000,205
East Midlands,NG10 5,2018,176000,188
East Midlands,NG11 0,2018,241000,39
East Midlands,NG11 6,2018,280000,163
East Midlands,NG11 7,2018,247000,112
East Midlands,NG11 8,2018,147000,161
East Midlands,NG11 9,2018,128000,155
East Midlands,NG12 1,2018,279000,40
East Midlands,NG12 2,2018,242000,104
East Midlands,NG12 3,2018,276000,285
East Midlands,NG12 4,2018,398000,203
East Midlands,NG12 5,2018,329000,148
East Midlands,NG13 0,2018,293000,72
East Midlands,NG13 8,2018,255000,234
East Midlands,NG13 9,2018,334000,91
East Midlands,NG14 5,2018,296000,77
East Midlands,NG14 6,2018,224000,151
East Midlands,NG14 7,2018,372000,91
East Midlands,NG15 0,2018,145000,53
East Midlands,NG15 6,2018,180000,345
East Midlands,NG15 7,2018,141000,236
East Midlands,NG15 8,2018,238000,168
East Midlands,NG15 9,2018,319000,106
East Midlands,NG16 1,2018,219000,174
East Midlands,NG16 2,2018,181000,406
East Midlands,NG16 3,2018,152000,210
East Midlands,NG16 4,2018,144000,100
East Midlands,NG16 5,2018,161000,142
East Midlands,NG16 6,2018,152000,192
East Midlands,NG17 1,2018,158000,103
East Midlands,NG17 2,2018,120000,217
East Midlands,NG17 3,2018,148000,147
East Midlands,NG17 4,2018,116000,181
East Midlands,NG17 5,2018,147000,98
East Midlands,NG17 7,2018,130000,128
East Midlands,NG17 8,2018,154000,246
East Midlands,NG17 9,2018,145000,84
East Midlands,NG18 1,2018,78000,26
East Midlands,NG18 2,2018,97000,132
East Midlands,NG18 3,2018,147000,155
East Midlands,NG18 4,2018,211000,302
East Midlands,NG18 5,2018,152000,142
East Midlands,NG18 6,2018,292000,10
East Midlands,NG19 0,2018,155000,245
East Midlands,NG19 6,2018,130000,177
East Midlands,NG19 7,2018,145000,216
East Midlands,NG19 8,2018,143000,227
East Midlands,NG19 9,2018,137000,143
East Midlands,NG2 1,2018,114000,18
East Midlands,NG2 2,2018,162000,90
East Midlands,NG2 3,2018,124000,34
East Midlands,NG2 4,2018,126000,200
East Midlands,NG2 5,2018,327000,147
East Midlands,NG2 6,2018,324000,216
East Midlands,NG2 7,2018,316000,286
East Midlands,NG20 0,2018,136000,143
East Midlands,NG20 8,2018,115000,166
East Midlands,NG20 9,2018,117000,121
East Midlands,NG21 0,2018,141000,256
East Midlands,NG21 9,2018,172000,238
East Midlands,NG22 0,2018,259000,103
East Midlands,NG22 8,2018,267000,147
East Midlands,NG22 9,2018,162000,253
East Midlands,NG23 5,2018,312000,116
East Midlands,NG23 6,2018,327000,82
East Midlands,NG23 7,2018,277000,94
East Midlands,NG24 1,2018,150000,176
East Midlands,NG24 2,2018,215000,219
East Midlands,NG24 3,2018,187000,334
East Midlands,NG24 4,2018,173000,231
East Midlands,NG25 0,2018,355000,159
East Midlands,NG3 1,2018,144000,48
East Midlands,NG3 2,2018,127000,92
East Midlands,NG3 3,2018,108000,106
East Midlands,NG3 4,2018,237000,27
East Midlands,NG3 5,2018,266000,318
East Midlands,NG3 6,2018,195000,195
East Midlands,NG3 7,2018,165000,93
East Midlands,NG31 6,2018,111000,69
East Midlands,NG31 7,2018,148000,223
East Midlands,NG31 8,2018,213000,402
East Midlands,NG31 9,2018,189000,229
East Midlands,NG32 1,2018,319000,65
East Midlands,NG32 2,2018,336000,45
East Midlands,NG32 3,2018,268000,83
East Midlands,NG33 4,2018,314000,62
East Midlands,NG33 5,2018,242000,81
East Midlands,NG34 0,2018,232000,79
East Midlands,NG34 7,2018,174000,279
East Midlands,NG34 8,2018,189000,266
East Midlands,NG34 9,2018,198000,249
East Midlands,NG4 1,2018,160000,215
East Midlands,NG4 2,2018,149000,205
East Midlands,NG4 3,2018,163000,170
East Midlands,NG4 4,2018,208000,197
East Midlands,NG5 1,2018,144000,200
East Midlands,NG5 2,2018,162000,142
East Midlands,NG5 3,2018,178000,97
East Midlands,NG5 4,2018,239000,161
East Midlands,NG5 5,2018,131000,225
East Midlands,NG5 6,2018,155000,189
East Midlands,NG5 7,2018,149000,136
East Midlands,NG5 8,2018,194000,185
East Midlands,NG5 9,2018,124000,105
East Midlands,NG6 0,2018,124000,162
East Midlands,NG6 7,2018,136000,50
East Midlands,NG6 8,2018,121000,212
East Midlands,NG6 9,2018,124000,124
East Midlands,NG7 1,2018,264000,196
East Midlands,NG7 2,2018,164000,101
East Midlands,NG7 3,2018,103000,36
East Midlands,NG7 4,2018,156000,57
East Midlands,NG7 5,2018,113000,99
East Midlands,NG7 6,2018,111000,129
East Midlands,NG7 7,2018,112000,85
East Midlands,NG8 1,2018,241000,112
East Midlands,NG8 2,2018,283000,182
East Midlands,NG8 3,2018,192000,216
East Midlands,NG8 4,2018,127000,91
East Midlands,NG8 5,2018,130000,147
East Midlands,NG8 6,2018,159000,142
East Midlands,NG9 1,2018,211000,193
East Midlands,NG9 2,2018,177000,203
